contract,function,line,detector_id,severity,swc_id,source
buggy_1,EIP20Interface,22,naming-convention,Info,,slither
buggy_1,"HotDollarsToken.transfer(address,uint256)",177,naming-convention,Info,,slither
buggy_1,EIP20Interface,86,naming-convention,Info,,slither
buggy_1,HotDollarsToken.callme_re_ent35(),202,naming-convention,Info,,slither
buggy_1,HotDollarsToken,201,naming-convention,Info,,slither
buggy_1,EIP20Interface,78,naming-convention,Info,,slither
buggy_1,HotDollarsToken.claimReward_re_ent39(),169,naming-convention,Info,,slither
buggy_1,EIP20Interface.withdrawFunds_re_ent31(uint256),87,naming-convention,Info,,slither
buggy_1,"HotDollarsToken.transferFrom(address,address,uint256)",190,naming-convention,Info,,slither
buggy_1,HotDollarsToken.withdrawBalance_re_ent26(),109,naming-convention,Info,,slither
buggy_1,HotDollarsToken,184,naming-convention,Info,,slither
buggy_1,HotDollarsToken,151,naming-convention,Info,,slither
buggy_1,EIP20Interface,65,naming-convention,Info,,slither
buggy_1,"HotDollarsToken.transferFrom(address,address,uint256)",190,naming-convention,Info,,slither
buggy_1,HotDollarsToken,243,naming-convention,Info,,slither
buggy_1,HotDollarsToken.claimReward_re_ent4(),152,naming-convention,Info,,slither
buggy_1,EIP20Interface,51,naming-convention,Info,,slither
buggy_1,"HotDollarsToken.approve(address,uint256)",224,naming-convention,Info,,slither
buggy_1,EIP20Interface,94,naming-convention,Info,,slither
buggy_1,HotDollarsToken.withdrawBalance_re_ent33(),230,naming-convention,Info,,slither
buggy_1,EIP20Interface.withdrawFunds_re_ent31(uint256),90,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_1,HotDollarsToken.bug_re_ent27(),246,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_1,HotDollarsToken.claimReward_re_ent4(),156,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_1,HotDollarsToken.withdrawFunds_re_ent38(uint256),147,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_1,EIP20Interface.buyTicket_re_ent30(),68,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_1,HotDollarsToken.bug_re_ent20(),122,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_1,HotDollarsToken.claimReward_re_ent32(),139,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_1,HotDollarsToken.withdraw_balances_re_ent36(),186,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_1,EIP20Interface.buyTicket_re_ent23(),39,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_1,EIP20Interface.callme_re_ent7(),25,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_1,EIP20Interface.callme_re_ent14(),54,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_1,HotDollarsToken.callme_re_ent35(),204,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_1,HotDollarsToken.claimReward_re_ent39(),173,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.bug_re_ent20(),69,arbitrary-send-eth,High,SWC-105,slither
buggy_2,CareerOnToken.bug_re_ent13(),28,arbitrary-send-eth,High,SWC-105,slither
buggy_2,CareerOnToken.callme_re_ent35(),255,arbitrary-send-eth,High,SWC-105,slither
buggy_2,CareerOnToken.bug_re_ent27(),11,arbitrary-send-eth,High,SWC-105,slither
buggy_2,CareerOnToken.buyTicket_re_ent30(),197,arbitrary-send-eth,High,SWC-105,slither
buggy_2,CareerOnToken.buyTicket_re_ent23(),136,arbitrary-send-eth,High,SWC-105,slither
buggy_2,CareerOnToken.callme_re_ent14(),165,arbitrary-send-eth,High,SWC-105,slither
buggy_2,CareerOnToken.callme_re_ent7(),106,arbitrary-send-eth,High,SWC-105,slither
buggy_2,CareerOnToken.withdrawBalance_re_ent33(),286,reentrancy-eth,High,SWC-107,slither
buggy_2,CareerOnToken.withdrawBalance_re_ent40(),271,reentrancy-eth,High,SWC-107,slither
buggy_2,CareerOnToken.bug_re_ent13(),28,reentrancy-eth,High,SWC-107,slither
buggy_2,CareerOnToken.withdrawBalance_re_ent26(),59,reentrancy-eth,High,SWC-107,slither
buggy_2,CareerOnToken.withdraw_balances_re_ent8(),212,reentrancy-eth,High,SWC-107,slither
buggy_2,^0.5.1,5,solc-version,Info,SWC-103,slither
buggy_2,,0,solc-version,Info,SWC-103,slither
buggy_2,CareerOnToken.withdrawBalance_re_ent33(),286,low-level-calls,Info,SWC-104,slither
buggy_2,CareerOnToken.bug_re_ent13(),28,low-level-calls,Info,SWC-104,slither
buggy_2,CareerOnToken.withdraw_balances_re_ent8(),212,low-level-calls,Info,SWC-104,slither
buggy_2,CareerOnToken.withdrawBalance_re_ent40(),271,low-level-calls,Info,SWC-104,slither
buggy_2,CareerOnToken.withdrawBalance_re_ent26(),59,low-level-calls,Info,SWC-104,slither
buggy_2,CareerOnToken.withdrawBalance_re_ent40(),268,naming-convention,Info,,slither
buggy_2,CareerOnToken,103,naming-convention,Info,,slither
buggy_2,"CareerOnToken.transfer(address,uint256)",144,naming-convention,Info,,slither
buggy_2,CareerOnToken.callme_re_ent14(),163,naming-convention,Info,,slither
buggy_2,CareerOnToken.bug_re_ent20(),67,naming-convention,Info,,slither
buggy_2,CareerOnToken,223,naming-convention,Info,,slither
buggy_2,"CareerOnToken.transferFrom(address,address,uint256)",174,naming-convention,Info,,slither
buggy_2,"CareerOnToken.approve(address,uint256)",203,naming-convention,Info,,slither
buggy_2,CareerOnToken.withdrawFunds_re_ent31(uint256),18,naming-convention,Info,,slither
buggy_2,CareerOnToken,162,naming-convention,Info,,slither
buggy_2,CareerOnToken,25,naming-convention,Info,,slither
buggy_2,CareerOnToken,36,naming-convention,Info,,slither
buggy_2,CareerOnToken.withdrawFunds_re_ent38(uint256),85,naming-convention,Info,,slither
buggy_2,CareerOnToken.withdrawBalance_re_ent26(),56,naming-convention,Info,,slither
buggy_2,CareerOnToken,267,naming-convention,Info,,slither
buggy_2,"CareerOnToken.transfer(address,uint256)",145,naming-convention,Info,,slither
buggy_2,CareerOnToken.withdrawFunds_re_ent31(uint256),18,naming-convention,Info,,slither
buggy_2,"CareerOnToken.allowance(address,address)",218,naming-convention,Info,,slither
buggy_2,CareerOnToken.withdraw_balances_re_ent8(),211,naming-convention,Info,,slither
buggy_2,"CareerOnToken.transferFrom(address,address,uint256)",175,naming-convention,Info,,slither
buggy_2,CareerOnToken,252,naming-convention,Info,,slither
buggy_2,CareerOnToken.claimReward_re_ent32(),76,naming-convention,Info,,slither
buggy_2,"CareerOnToken.allowance(address,address)",219,naming-convention,Info,,slither
buggy_2,CareerOnToken.bug_re_ent13(),26,naming-convention,Info,,slither
buggy_2,"CareerOnToken.changeContractName(string,string)",262,naming-convention,Info,,slither
buggy_2,CareerOnToken.callme_re_ent7(),104,naming-convention,Info,,slither
buggy_2,CareerOnToken.buyTicket_re_ent23(),135,naming-convention,Info,,slither
buggy_2,"CareerOnToken.transferFrom(address,address,uint256)",173,naming-convention,Info,,slither
buggy_2,CareerOnToken,45,naming-convention,Info,,slither
buggy_2,CareerOnToken.bug_re_ent27(),9,naming-convention,Info,,slither
buggy_2,CareerOnToken.withdrawBalance_re_ent19(),46,naming-convention,Info,,slither
buggy_2,CareerOnToken,210,naming-convention,Info,,slither
buggy_2,CareerOnToken,241,naming-convention,Info,,slither
buggy_2,CareerOnToken.buyTicket_re_ent30(),196,naming-convention,Info,,slither
buggy_2,CareerOnToken.claimReward_re_ent39(),224,naming-convention,Info,,slither
buggy_2,CareerOnToken.withdrawBalance_re_ent33(),283,naming-convention,Info,,slither
buggy_2,CareerOnToken,84,naming-convention,Info,,slither
buggy_2,"CareerOnToken.approve(address,uint256)",203,naming-convention,Info,,slither
buggy_2,CareerOnToken,75,naming-convention,Info,,slither
buggy_2,CareerOnToken,194,naming-convention,Info,,slither
buggy_2,CareerOnToken,66,naming-convention,Info,,slither
buggy_2,CareerOnToken,92,naming-convention,Info,,slither
buggy_2,CareerOnToken.withdrawFunds_re_ent38(uint256),85,naming-convention,Info,,slither
buggy_2,CareerOnToken,133,naming-convention,Info,,slither
buggy_2,CareerOnToken,134,naming-convention,Info,,slither
buggy_2,CareerOnToken,195,naming-convention,Info,,slither
buggy_2,CareerOnToken,17,naming-convention,Info,,slither
buggy_2,CareerOnToken.claimReward_re_ent4(),93,naming-convention,Info,,slither
buggy_2,CareerOnToken.withdraw_balances_re_ent36(),242,naming-convention,Info,,slither
buggy_2,CareerOnToken,55,naming-convention,Info,,slither
buggy_2,CareerOnToken.callme_re_ent35(),253,naming-convention,Info,,slither
buggy_2,CareerOnToken.claimReward_re_ent25(),37,naming-convention,Info,,slither
buggy_2,CareerOnToken,8,naming-convention,Info,,slither
buggy_2,"CareerOnToken.changeContractName(string,string)",262,naming-convention,Info,,slither
buggy_2,CareerOnToken,282,naming-convention,Info,,slither
buggy_2,CareerOnToken.withdrawFunds_re_ent38(uint256),88,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.withdrawFunds_re_ent31(uint256),21,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.bug_re_ent27(),11,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.claimReward_re_ent39(),228,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.claimReward_re_ent25(),41,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.buyTicket_re_ent23(),136,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.callme_re_ent35(),255,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.claimReward_re_ent32(),80,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.callme_re_ent14(),165,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.withdrawBalance_re_ent19(),49,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.claimReward_re_ent4(),97,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.bug_re_ent20(),69,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.callme_re_ent7(),106,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.buyTicket_re_ent30(),197,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,CareerOnToken.withdraw_balances_re_ent36(),243,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_2,"CareerOnToken.constructor(uint256,uint8)",119,too-many-digits,Info,,slither
buggy_2,"CareerOnToken.changeContractName(string,string)",262,external-function,Info,,slither
buggy_3,CareerOnToken.bug_re_ent20(),79,arbitrary-send-eth,High,SWC-105,slither
buggy_3,CareerOnToken.buyTicket_re_ent30(),215,arbitrary-send-eth,High,SWC-105,slither
buggy_3,CareerOnToken.callme_re_ent14(),199,arbitrary-send-eth,High,SWC-105,slither
buggy_3,CareerOnToken.bug_re_ent27(),11,arbitrary-send-eth,High,SWC-105,slither
buggy_3,CareerOnToken.buyTicket_re_ent23(),167,arbitrary-send-eth,High,SWC-105,slither
buggy_3,CareerOnToken.callme_re_ent7(),138,arbitrary-send-eth,High,SWC-105,slither
buggy_3,CareerOnToken.bug_re_ent13(),28,arbitrary-send-eth,High,SWC-105,slither
buggy_3,CareerOnToken.buyTicket_re_ent9(),39,arbitrary-send-eth,High,SWC-105,slither
buggy_3,CareerOnToken.callme_re_ent35(),269,arbitrary-send-eth,High,SWC-105,slither
buggy_3,CareerOnToken.bug_re_ent13(),28,reentrancy-eth,High,SWC-107,slither
buggy_3,CareerOnToken.withdrawBalance_re_ent26(),69,reentrancy-eth,High,SWC-107,slither
buggy_3,CareerOnToken.withdrawBalance_re_ent33(),300,reentrancy-eth,High,SWC-107,slither
buggy_3,CareerOnToken.buyTicket_re_ent9(),39,reentrancy-eth,High,SWC-107,slither
buggy_3,CareerOnToken.withdraw_balances_re_ent8(),229,reentrancy-eth,High,SWC-107,slither
buggy_3,CareerOnToken.withdrawBalance_re_ent40(),285,reentrancy-eth,High,SWC-107,slither
buggy_3,^0.5.1,5,solc-version,Info,SWC-103,slither
buggy_3,,0,solc-version,Info,SWC-103,slither
buggy_3,CareerOnToken.withdrawBalance_re_ent33(),300,low-level-calls,Info,SWC-104,slither
buggy_3,CareerOnToken.withdrawBalance_re_ent40(),285,low-level-calls,Info,SWC-104,slither
buggy_3,CareerOnToken.bug_re_ent13(),28,low-level-calls,Info,SWC-104,slither
buggy_3,CareerOnToken.buyTicket_re_ent9(),39,low-level-calls,Info,SWC-104,slither
buggy_3,CareerOnToken.withdrawBalance_re_ent26(),69,low-level-calls,Info,SWC-104,slither
buggy_3,CareerOnToken.withdraw_balances_re_ent8(),229,low-level-calls,Info,SWC-104,slither
buggy_3,CareerOnToken,37,naming-convention,Info,,slither
buggy_3,CareerOnToken.withdrawBalance_re_ent40(),282,naming-convention,Info,,slither
buggy_3,CareerOnToken,135,naming-convention,Info,,slither
buggy_3,"CareerOnToken.transfer(address,uint256)",146,naming-convention,Info,,slither
buggy_3,CareerOnToken.callme_re_ent14(),197,naming-convention,Info,,slither
buggy_3,CareerOnToken.bug_re_ent20(),77,naming-convention,Info,,slither
buggy_3,CareerOnToken,237,naming-convention,Info,,slither
buggy_3,"CareerOnToken.transferFrom(address,address,uint256)",176,naming-convention,Info,,slither
buggy_3,"CareerOnToken.approve(address,uint256)",205,naming-convention,Info,,slither
buggy_3,CareerOnToken.withdrawFunds_re_ent31(uint256),18,naming-convention,Info,,slither
buggy_3,CareerOnToken,196,naming-convention,Info,,slither
buggy_3,CareerOnToken,25,naming-convention,Info,,slither
buggy_3,CareerOnToken,46,naming-convention,Info,,slither
buggy_3,CareerOnToken.withdrawFunds_re_ent38(uint256),96,naming-convention,Info,,slither
buggy_3,CareerOnToken.withdrawBalance_re_ent26(),66,naming-convention,Info,,slither
buggy_3,CareerOnToken,281,naming-convention,Info,,slither
buggy_3,"CareerOnToken.transfer(address,uint256)",147,naming-convention,Info,,slither
buggy_3,CareerOnToken.withdrawFunds_re_ent31(uint256),18,naming-convention,Info,,slither
buggy_3,"CareerOnToken.allowance(address,address)",222,naming-convention,Info,,slither
buggy_3,CareerOnToken.withdraw_balances_re_ent8(),228,naming-convention,Info,,slither
buggy_3,"CareerOnToken.transferFrom(address,address,uint256)",177,naming-convention,Info,,slither
buggy_3,CareerOnToken,266,naming-convention,Info,,slither
buggy_3,CareerOnToken.claimReward_re_ent32(),87,naming-convention,Info,,slither
buggy_3,"CareerOnToken.allowance(address,address)",223,naming-convention,Info,,slither
buggy_3,CareerOnToken,36,naming-convention,Info,,slither
buggy_3,CareerOnToken.bug_re_ent13(),26,naming-convention,Info,,slither
buggy_3,"CareerOnToken.changeContractName(string,string)",276,naming-convention,Info,,slither
buggy_3,CareerOnToken.callme_re_ent7(),136,naming-convention,Info,,slither
buggy_3,CareerOnToken.buyTicket_re_ent23(),166,naming-convention,Info,,slither
buggy_3,"CareerOnToken.transferFrom(address,address,uint256)",175,naming-convention,Info,,slither
buggy_3,CareerOnToken,55,naming-convention,Info,,slither
buggy_3,CareerOnToken.bug_re_ent27(),9,naming-convention,Info,,slither
buggy_3,CareerOnToken.withdrawBalance_re_ent19(),56,naming-convention,Info,,slither
buggy_3,CareerOnToken,227,naming-convention,Info,,slither
buggy_3,CareerOnToken,255,naming-convention,Info,,slither
buggy_3,CareerOnToken.buyTicket_re_ent30(),214,naming-convention,Info,,slither
buggy_3,CareerOnToken.claimReward_re_ent39(),238,naming-convention,Info,,slither
buggy_3,CareerOnToken.withdrawBalance_re_ent33(),297,naming-convention,Info,,slither
buggy_3,CareerOnToken,95,naming-convention,Info,,slither
buggy_3,"CareerOnToken.approve(address,uint256)",205,naming-convention,Info,,slither
buggy_3,CareerOnToken,86,naming-convention,Info,,slither
buggy_3,CareerOnToken,212,naming-convention,Info,,slither
buggy_3,CareerOnToken,76,naming-convention,Info,,slither
buggy_3,CareerOnToken,105,naming-convention,Info,,slither
buggy_3,CareerOnToken.withdrawFunds_re_ent38(uint256),96,naming-convention,Info,,slither
buggy_3,CareerOnToken,164,naming-convention,Info,,slither
buggy_3,CareerOnToken,165,naming-convention,Info,,slither
buggy_3,CareerOnToken,213,naming-convention,Info,,slither
buggy_3,CareerOnToken,17,naming-convention,Info,,slither
buggy_3,CareerOnToken.claimReward_re_ent4(),106,naming-convention,Info,,slither
buggy_3,CareerOnToken.withdraw_balances_re_ent36(),256,naming-convention,Info,,slither
buggy_3,CareerOnToken,65,naming-convention,Info,,slither
buggy_3,CareerOnToken.callme_re_ent35(),267,naming-convention,Info,,slither
buggy_3,CareerOnToken.claimReward_re_ent25(),47,naming-convention,Info,,slither
buggy_3,CareerOnToken.buyTicket_re_ent9(),38,naming-convention,Info,,slither
buggy_3,CareerOnToken,8,naming-convention,Info,,slither
buggy_3,"CareerOnToken.changeContractName(string,string)",276,naming-convention,Info,,slither
buggy_3,CareerOnToken,296,naming-convention,Info,,slither
buggy_3,CareerOnToken.withdraw_balances_re_ent36(),257,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,CareerOnToken.buyTicket_re_ent23(),167,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,CareerOnToken.claimReward_re_ent25(),51,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,CareerOnToken.buyTicket_re_ent30(),215,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,CareerOnToken.withdrawBalance_re_ent19(),59,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,CareerOnToken.claimReward_re_ent4(),110,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,CareerOnToken.claimReward_re_ent32(),91,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,CareerOnToken.withdrawFunds_re_ent38(uint256),99,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,CareerOnToken.claimReward_re_ent39(),242,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,CareerOnToken.callme_re_ent7(),138,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,CareerOnToken.bug_re_ent27(),11,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,CareerOnToken.callme_re_ent35(),269,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,CareerOnToken.bug_re_ent20(),79,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,CareerOnToken.callme_re_ent14(),199,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,CareerOnToken.withdrawFunds_re_ent31(uint256),21,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_3,"CareerOnToken.constructor(uint256,uint8)",121,too-many-digits,Info,,slither
buggy_3,"CareerOnToken.changeContractName(string,string)",276,external-function,Info,,slither
buggy_4,PHO.bug_re_ent27(),226,arbitrary-send-eth,High,SWC-105,slither
buggy_4,PHO.buyTicket_re_ent30(),108,arbitrary-send-eth,High,SWC-105,slither
buggy_4,PHO.buyTicket_re_ent23(),89,arbitrary-send-eth,High,SWC-105,slither
buggy_4,PHO.callme_re_ent7(),79,arbitrary-send-eth,High,SWC-105,slither
buggy_4,PHO.callme_re_ent14(),98,arbitrary-send-eth,High,SWC-105,slither
buggy_4,PHO.bug_re_ent13(),259,arbitrary-send-eth,High,SWC-105,slither
buggy_4,PHO.callme_re_ent35(),166,arbitrary-send-eth,High,SWC-105,slither
buggy_4,PHO.bug_re_ent20(),43,arbitrary-send-eth,High,SWC-105,slither
buggy_4,PHO.withdrawBalance_re_ent40(),179,reentrancy-eth,High,SWC-107,slither
buggy_4,PHO.withdrawBalance_re_ent33(),193,reentrancy-eth,High,SWC-107,slither
buggy_4,PHO.withdraw_balances_re_ent8(),116,reentrancy-eth,High,SWC-107,slither
buggy_4,PHO.bug_re_ent13(),259,reentrancy-eth,High,SWC-107,slither
buggy_4,PHO.withdrawBalance_re_ent26(),33,reentrancy-eth,High,SWC-107,slither
buggy_4,"PHO.transfer(address,uint256)",208,timestamp,Low,SWC-116,slither
buggy_4,,0,solc-version,Info,SWC-103,slither
buggy_4,>=0.5.0<0.6.0,5,solc-version,Info,SWC-103,slither
buggy_4,PHO.withdrawBalance_re_ent26(),33,low-level-calls,Info,SWC-104,slither
buggy_4,PHO.withdrawBalance_re_ent40(),179,low-level-calls,Info,SWC-104,slither
buggy_4,PHO.withdraw_balances_re_ent8(),116,low-level-calls,Info,SWC-104,slither
buggy_4,PHO.withdrawBalance_re_ent33(),193,low-level-calls,Info,SWC-104,slither
buggy_4,PHO.bug_re_ent13(),259,low-level-calls,Info,SWC-104,slither
buggy_4,PHO.withdrawBalance_re_ent26(),30,naming-convention,Info,,slither
buggy_4,PHO,106,naming-convention,Info,,slither
buggy_4,PHO.callme_re_ent14(),96,naming-convention,Info,,slither
buggy_4,PHO,95,naming-convention,Info,,slither
buggy_4,PHO,76,naming-convention,Info,,slither
buggy_4,PHO,256,naming-convention,Info,,slither
buggy_4,PHO,59,naming-convention,Info,,slither
buggy_4,PHO,49,naming-convention,Info,,slither
buggy_4,PHO.withdrawFunds_re_ent31(uint256),242,naming-convention,Info,,slither
buggy_4,PHO.withdraw_balances_re_ent8(),115,naming-convention,Info,,slither
buggy_4,PHO,130,naming-convention,Info,,slither
buggy_4,PHO.withdrawBalance_re_ent40(),176,naming-convention,Info,,slither
buggy_4,PHO,67,naming-convention,Info,,slither
buggy_4,PHO,105,naming-convention,Info,,slither
buggy_4,PHO.withdrawFunds_re_ent38(uint256),60,naming-convention,Info,,slither
buggy_4,PHO.bug_re_ent20(),41,naming-convention,Info,,slither
buggy_4,PHO,223,naming-convention,Info,,slither
buggy_4,PHO.bug_re_ent13(),257,naming-convention,Info,,slither
buggy_4,PHO,163,naming-convention,Info,,slither
buggy_4,PHO.buyTicket_re_ent30(),107,naming-convention,Info,,slither
buggy_4,PHO,189,naming-convention,Info,,slither
buggy_4,PHO,40,naming-convention,Info,,slither
buggy_4,PHO,241,naming-convention,Info,,slither
buggy_4,PHO,86,naming-convention,Info,,slither
buggy_4,PHO.buyTicket_re_ent23(),88,naming-convention,Info,,slither
buggy_4,PHO.withdraw_balances_re_ent36(),131,naming-convention,Info,,slither
buggy_4,PHO,114,naming-convention,Info,,slither
buggy_4,PHO.callme_re_ent35(),164,naming-convention,Info,,slither
buggy_4,PHO,29,naming-convention,Info,,slither
buggy_4,PHO.bug_re_ent27(),224,naming-convention,Info,,slither
buggy_4,PHO.callme_re_ent7(),77,naming-convention,Info,,slither
buggy_4,PHO.claimReward_re_ent39(),122,naming-convention,Info,,slither
buggy_4,PHO.claimReward_re_ent32(),50,naming-convention,Info,,slither
buggy_4,PHO,175,naming-convention,Info,,slither
buggy_4,PHO.withdrawFunds_re_ent38(uint256),60,naming-convention,Info,,slither
buggy_4,PHO.withdrawBalance_re_ent33(),190,naming-convention,Info,,slither
buggy_4,PHO.claimReward_re_ent4(),68,naming-convention,Info,,slither
buggy_4,PHO,121,naming-convention,Info,,slither
buggy_4,PHO.withdrawFunds_re_ent31(uint256),242,naming-convention,Info,,slither
buggy_4,PHO,87,naming-convention,Info,,slither
buggy_4,PHO.claimReward_re_ent32(),54,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_4,PHO.buyTicket_re_ent30(),108,reentrancy-unlimited-gas,Info,SWC-107,slither
buggy_4,PHO.withdrawFunds_re_ent38(uint256),63,reentrancy-unlimited-gas,Info,SWC-107,slither
